ticker,name,sector,sector_id,detail_url
RTB,R T Briscoe,Automobile and Tyre,3,/compDetail.php?s=RTB&p=qs
RTZ,RIETZCOT Nigeria,Automobile and Tyre,3,/compDetail.php?s=RTZ&p=qs
SAI,FORTIS GLOBAL INSURANCE PLC,Insurance,19,/compDetail.php?s=SAI&p=qs
SAV,SAHCO Plc,Aviation,4,/compDetail.php?s=SAV&p=qs
SCN,SCOA Nigeria Ltd,Conglomerates,11,/compDetail.php?s=SCN&p=qs
SEC,Security Assurance PLC,Insurance,19,/compDetail.php?s=SEC&p=qs
SKY,Skye Bank PLC,Banking,5,/compDetail.php?s=SKY&p=qs
SNU,SUNU Assurances Nig. Plc,Insurance,19,/compDetail.php?s=SNU&p=qs
SPD,Seplat Petroleum Development Company,Petroleum (Marketing),26,/compDetail.php?s=SPD&p=qs
SPR,Spring Bank,Banking,5,/compDetail.php?s=SPR&p=qs
STA,STACO Insurance PLC,Insurance,19,/compDetail.php?s=STA&p=qs
STB,Stanbic IBTC Holdings PLC,Banking,5,/compDetail.php?s=STB&p=qs
STI,Sovereign Trust Insurance PLC,Insurance,19,/compDetail.php?s=STI&p=qs
STL,Sterling Bank PLC,Banking,5,/compDetail.php?s=STL&p=qs
STR,Starcomms PLC,Telecommunication,31,/compDetail.php?s=STR&p=qs
STU,Studio Press PLC,Packaging,25,/compDetail.php?s=STU&p=qs
STV,Stokvis Nig PLC,Machinery (Marketing),21,/compDetail.php?s=STV&p=qs
SUN,Sun Insurance Nig PLC,Insurance,19,/compDetail.php?s=SUN&p=qs
TCN,Tourist Company of Nigeria  PLC,Hotels and Tourism,17,/compDetail.php?s=TCN&p=qs
TGC,Tripple Gee and Company,Computer and Office Equipment,10,/compDetail.php?s=TGC&p=qs
THL,TRANSCORP HOTELS PLC,Hotels and Tourism,17,/compDetail.php?s=THL&p=qs
TNC,Trans National Corporation,Conglomerates,11,/compDetail.php?s=TNC&p=qs
TNE,Trans-National Express PLC,Commercial Services,9,/compDetail.php?s=TNE&p=qs
TNL,Total Nigeria PLC,Petroleum (Marketing),26,/compDetail.php?s=TNL&p=qs
TNP,Transcorp Power,Engineering Technology,13,/compDetail.php?s=TNP&p=qs
TNZ,Tantalizer,Food Beverages and Tobacco,14,/compDetail.php?s=TNZ&p=qs
TWL,Thomas Wyatt Nig PLC,Computer and Office Equipment,10,/compDetail.php?s=TWL&p=qs
UAC,United African Company Nig PLC,Conglomerates,11,/compDetail.php?s=UAC&p=qs
UAP,UPDC Property Ltd,Real Estate,28,/compDetail.php?s=UAP&p=qs
UBA,United Bank For Africa PLC,Banking,5,/compDetail.php?s=UBA&p=qs
UBC,United Capital Plc,Other Financial Institutions,24,/compDetail.php?s=UBC&p=qs
UBN,Union Bank PLC,Banking,5,/compDetail.php?s=UBN&p=qs
UDC,Union Diagnostic and Clinical PLC,Healthcare,16,/compDetail.php?s=UDC&p=qs
UDS,Union Dicon Salt PLC,Food Beverages and Tobacco,14,/compDetail.php?s=UDS&p=qs
UHR,UH REAL ESTATE INVESTMENT TRUST,Real Estate,28,/compDetail.php?s=UHR&p=qs
UHS,Union Homes Savings and Loans PLC,Mortgage Companies,23,/compDetail.php?s=UHS&p=qs
UIC,Universal Insurance Company PLC,Insurance,19,/compDetail.php?s=UIC&p=qs
UNA,Veritas Kapital Assurance Plc,Insurance,19,/compDetail.php?s=UNA&p=qs
UNI,UNIC Insurance PLC,Insurance,19,/compDetail.php?s=UNI&p=qs
UNL,UNILEVER Nigeria PLC,Conglomerates,11,/compDetail.php?s=UNL&p=qs
UNT,Unity Bank PLC,Banking,5,/compDetail.php?s=UNT&p=qs
UPL,University Press PLC,Printing and Publishing,27,/compDetail.php?s=UPL&p=qs
UPT,UPDC Real Estate Inv Trust,Real Estate Investment Trust,35,/compDetail.php?s=UPT&p=qs
UTAIF,AVA INFRASTRUCTURE FUND,Second Tier Securities,33,/compDetail.php?s=UTAIF&p=qs
UTAVF,ValueAlliance Value Fund,Other Financial Institutions,24,/compDetail.php?s=UTAVF&p=qs
UTC,UTC Nigeria PLC,Food Beverages and Tobacco,14,/compDetail.php?s=UTC&p=qs
UTCIF,CORONATION INFRASTRUCTURE FUND,Second Tier Securities,33,/compDetail.php?s=UTCIF&p=qs
UTESF,Nigeria Energy Sector Fund,Engineering Technology,13,/compDetail.php?s=UTESF&p=qs
UTGAF,Greenwich Asset ETF,Other Financial Institutions,24,/compDetail.php?s=UTGAF&p=qs
UTITF,NIGERIA REAL ESTATE INV. TRUST FUND,Second Tier Securities,33,/compDetail.php?s=UTITF&p=qs
UTLIV,Living Trust Mortgage Bank PLC,Mortgage Companies,23,/compDetail.php?s=UTLIV&p=qs
UTLOT,Lotus Halal Fund,Other Financial Institutions,24,/compDetail.php?s=UTLOT&p=qs
UTMGF,Meristem Growth Fund,Other Financial Institutions,24,/compDetail.php?s=UTMGF&p=qs
UTMRF,MOFI REAL ESTATE INVESTMENT FUND,Second Tier Securities,33,/compDetail.php?s=UTMRF&p=qs
